epoch,train_loss,val_loss,val_psnr,val_ssim,lr,epoch_time_sec
1,0.03874958423483703,0.03426632238551974,25.147475885888433,0.7411322712898254,9.972609476841367e-05,88.99
2,0.03471533428463671,0.033512632548809054,25.257774970740705,0.7468116730451584,9.890738003669029e-05,88.95
3,0.03405388639205032,0.03300950545817614,25.346395521363572,0.752634447813034,9.755282581475769e-05,89.56
4,0.03362764347758558,0.03264950485900044,25.407610162774404,0.7560384154319764,9.567727288213003e-05,92.59
5,0.03334858805562059,0.032565055228769776,25.44091009034243,0.7571634232997895,9.330127018922194e-05,95.46
6,0.03307372203303708,0.03220524825155735,25.501582931922435,0.7572076380252838,9.045084971874738e-05,96.63
7,0.03294020941894915,0.03237708481028676,25.502675460368962,0.7559303015470504,8.715724127386972e-05,97.81
8,0.032768482570019034,0.03193023363128304,25.5556889967099,0.7596298664808273,8.345653031794292e-05,96.73
9,0.03265921236533258,0.03193588983267546,25.564515334759484,0.7586168199777603,7.938926261462366e-05,93.75
10,0.03256954680093461,0.031846192199736834,25.59240233164387,0.7594111680984497,7.500000000000001e-05,93.91
11,0.03246755034973224,0.03167086401954293,25.618557682770746,0.7628011673688888,7.033683215379003e-05,96.61
12,0.032386079306403796,0.03158351173624396,25.636449868475573,0.7638447225093842,6.545084971874738e-05,100.69
13,0.032313381342424286,0.03159549180418253,25.64057401062977,0.7605101704597473,6.039558454088797e-05,100.65
14,0.03221691287019186,0.0315087559632957,25.658072217622646,0.7635069400072098,5.522642316338269e-05,98.4
15,0.032153934612870215,0.03145231893286109,25.65922038190066,0.7663203358650208,5.000000000000002e-05,99.53
16,0.03210429569913281,0.03139265002682805,25.679432680284464,0.7652078658342362,4.4773576836617344e-05,99.01
17,0.032070952726321086,0.03133999230340123,25.704401386897793,0.7658970475196838,3.9604415459112035e-05,99.75
18,0.03198676150706079,0.03131635282188654,25.71002027938543,0.7652836233377457,3.4549150281252636e-05,99.61
19,0.03196096133647693,0.031317265890538695,25.705458295872308,0.7649894148111344,2.9663167846209998e-05,105.53
20,0.03191588247815768,0.031245853751897812,25.719322727541417,0.7673652410507202,2.5000000000000018e-05,104.31
21,0.03189072113277184,0.0312007749453187,25.727863023135864,0.7671060144901276,2.0610737385376356e-05,96.15
22,0.03184440061450004,0.031183731742203236,25.7414130085805,0.7668502241373062,1.654346968205711e-05,96.84
23,0.031826384727739625,0.031175170559436083,25.73707756960827,0.7678673028945923,1.2842758726130297e-05,96.88
24,0.031793485840575564,0.031136014964431524,25.75136043726668,0.7673461556434631,9.549150281252636e-06,96.43
25,0.03177862310161193,0.03115841941908002,25.7455719183675,0.766164219379425,6.698729810778068e-06,96.57
26,0.03176628015935421,0.031130808778107165,25.751337382900765,0.7668891787528992,4.322727117869953e-06,97.4
27,0.031751868853138555,0.031123916059732436,25.751497198013954,0.7667367905378342,2.447174185242324e-06,94.84
28,0.03174249338400033,0.031112643145024776,25.755757821469025,0.7671447455883026,1.092619963309716e-06,94.65
29,0.0317364274420672,0.031106558069586752,25.75669887250436,0.7672488808631897,2.7390523158633003e-07,96.32
30,0.03173317786099182,0.031106034573167563,25.75734676679242,0.7673050761222839,0.0,97.78
